time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-27T15:44:24.072Z,-2.6399,138.4924,10,4.7,mb,,56,6.242,0.66,us,us700045yk,2019-06-27T18:28:23.040Z,"232km W of Abepura, Indonesia",earthquake,8.1,1.5,0.073,57,reviewed,us,us
2019-06-27T15:39:30.084Z,-21.8337,168.7583,10,4.7,mb,,79,1.441,1.23,us,us700045yf,2019-06-27T18:16:43.040Z,"95km ESE of Tadine, New Caledonia",earthquake,6.7,1.8,0.118,25,reviewed,us,us
2019-06-27T14:14:03.932Z,-20.7121,-178.1998,525.09,4.8,mb,,114,4.609,1.16,us,us700045ww,2019-06-27T22:16:44.658Z,"52km E of Ndoi Island, Fiji",earthquake,12.6,7.3,0.037,230,reviewed,us,us
2019-06-27T12:48:36.577Z,-2.6954,138.2085,19.8,5.1,mb,,71,5.956,1.26,us,us700045wd,2019-06-27T13:20:53.040Z,"246km ENE of Enarotali, Indonesia",earthquake,11.1,4,0.056,103,reviewed,us,us
2019-06-27T11:04:57.020Z,-30.3859,-179.2332,10,6.3,mww,,56,1.605,1.22,us,us700045vh,2019-06-28T11:08:00.832Z,"120km NNW of L'Esperance Rock, New Zealand",earthquake,8.5,1.8,0.073,18,reviewed,us,us
2019-06-27T11:01:20.055Z,51.4509,-176.709,32.1,3.6,ml,,,,0.37,ak,ak01986k7suh,2019-06-27T16:11:51.691Z,"47km S of Adak, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2019-06-27T10:49:56.630Z,37.4538333,-118.729,12.62,2.54,md,31,123,0.1171,0.07,nc,nc73202731,2019-06-28T02:04:48.792Z,"12km WNW of Round Valley, CA",earthquake,0.3,0.87,0.234,34,reviewed,nc,nc
2019-06-27T08:53:55.106Z,-2.7493,138.5965,10,4.7,mb,,126,6.342,0.26,us,us700045tt,2019-06-27T11:46:35.040Z,"221km W of Abepura, Indonesia",earthquake,12.8,1.9,0.137,16,reviewed,us,us
2019-06-27T06:21:20.510Z,32.2795,-115.2263333,27.03,3.24,ml,31,211,0.1294,0.34,ci,ci38432527,2019-06-27T17:30:32.957Z,"8km NW of Alberto Oviedo Mota, B.C., MX",earthquake,0.9,0.59,0.218,63,reviewed,ci,ci
2019-06-27T06:19:51.851Z,38.8556,125.6715,10,3.8,mb_lg,,131,1.567,0.27,us,us700045sm,2019-06-28T03:36:38.066Z,"11km NNE of Songnim, North Korea",earthquake,6.3,2,0.228,5,reviewed,us,us
2019-06-27T06:02:40.678Z,56.2215,164.714,10,4.1,mb,,112,4.762,1.07,us,us700045s7,2019-06-27T06:28:43.040Z,"138km E of Ust'-Kamchatsk Staryy, Russia",earthquake,6.6,1.9,0.117,20,reviewed,us,us
2019-06-27T05:50:16.378Z,69.3115,-143.8109,1.8,2.5,ml,,,,1.04,ak,ak01986gxozw,2019-06-27T06:18:20.040Z,"91km S of Kaktovik, Alaska",earthquake,,2.7,,,automatic,ak,ak
2019-06-27T05:46:23.389Z,-6.2923,125.1115,552.9,4.6,mb,,73,3.54,0.72,us,us700045sf,2019-06-27T06:40:13.040Z,"255km NNW of Dili, East Timor",earthquake,9.7,6.8,0.084,42,reviewed,us,us
2019-06-27T05:31:26.840Z,18.2771,-67.8616,109,2.96,md,14,192,0.3972,0.33,pr,pr2019178003,2019-06-27T09:28:52.040Z,"63km W of Rincon, Puerto Rico",earthquake,2.63,1.6,0.34,14,reviewed,pr,pr
2019-06-27T05:05:23.481Z,-9.4058,117.3244,89.86,4.4,mb,,111,3.269,0.56,us,us700045rj,2019-06-27T05:37:11.040Z,"81km SE of Besisora, Indonesia",earthquake,7.4,7.4,0.12,20,reviewed,us,us
2019-06-27T04:20:48.784Z,56.1951,164.308,10,5.7,mww,,74,4.573,1.04,us,us700045r4,2019-06-28T04:23:55.871Z,"113km E of Ust'-Kamchatsk Staryy, Russia",earthquake,7.5,1.8,0.044,50,reviewed,us,us
2019-06-27T02:35:18.240Z,19.1663,-68.0998,6,3.17,md,8,332,0.9982,0.54,pr,pr2019178001,2019-06-27T05:01:21.692Z,"72km NNE of Punta Cana, Dominican Republic",earthquake,30.57,29.32,0.12,8,reviewed,pr,pr
2019-06-27T01:09:44.540Z,32.389,-115.2426667,18.03,2.53,ml,19,117,0.06087,0.26,ci,ci38432231,2019-06-27T16:22:39.546Z,"6km NW of Delta, B.C., MX",earthquake,0.55,1.74,0.212,31,reviewed,ci,ci
2019-06-27T01:07:37.610Z,32.3655,-115.2383333,19.13,2.46,ml,25,126,0.07798,0.29,ci,ci38432215,2019-06-27T18:09:58.248Z,"4km WNW of Delta, B.C., MX",earthquake,0.47,1.1,0.284,21,reviewed,ci,ci
2019-06-27T00:03:17.570Z,19.2218333,-155.4556667,10.77,2.96,ml,50,108,0.02693,0.14,hv,hv71011911,2019-06-27T02:35:16.040Z,"3km NE of Pahala, Hawaii",earthquake,0.35,0.46,0.175,43,reviewed,hv,hv
